Protein	Neighborhood
C8B	Unclassified
C8G	Unclassified
C8orf33	Nuclear
C8orf37	Cytosol
C8orf59	Nuclear
C8orf76	Unclassified
C8orf82	Mitochondria
C8orf88	Unclassified
C9	Cytosol
C9orf114	Nuclear
C9orf117	Nuclear
C9orf142	Cytosol
C9orf156	Cytosol
C9orf16	Cytosol
C9orf169	Unclassified
C9orf40	Cytosol
C9orf41	Nuclear
C9orf64	Cytosol
C9orf72	Cytosol
C9orf78	Nuclear
C9orf85	Nuclear
C9orf89	Mitochondria
C9orf91	Unclassified
CA12	Secretory
CA2	Cytosol
CA5B	Unclassified
CA8	Cytosol
CAAP1	Nuclear
CAB39	Cytosol
CAB39L	Cytosol
CABIN1	Nuclear
CABLES1	Unclassified
CABLES2	Unclassified
CACFD1	Unclassified
CACHD1	Secretory
CACNA1H	Unclassified
CACNA2D2	Secretory
CACNB3	Cytosol
CACNG4	Secretory
CACTIN	Nuclear
CACUL1	Nuclear
CACYBP	Cytosol
CAD	Cytosol
CADM1	Secretory
CADM4	Secretory
CADPS2	Cytosol
CALB1	Cytosol
CALCOCO1	Cytosol
CALCOCO2	Cytosol
CALCR	Secretory
CALHM2	Secretory
CALML3	Cytosol
CALML5	Cytosol
CALR	Nuclear
CALR3	Secretory
CALU	Nuclear
CAMK1	Cytosol
CAMK1D	Cytosol
CAMK2B	Cytosol
CAMK2D	Cytosol
CAMK2G	Cytosol
CAMK2N1	Cytosol
CAMKK1	Cytosol
CAMKK2	Cytosol
CAMKMT	Cytosol
CAMLG	Secretory
CAMSAP1	Cytosol
CAMSAP2	Cytosol
CAMSAP3	Cytosol
CAMTA1	Unclassified
CAND1	Cytosol
CAND2	Cytosol
CANT1	Secretory
CANX	Secretory
CAP1	Cytosol
CAP2	Cytosol
CAPG	Cytosol
CAPN1	Cytosol
CAPN13	Cytosol
CAPN15	Cytosol
CAPN2	Cytosol
CAPN5	Secretory
CAPN7	Cytosol
CAPN9	Cytosol
CAPNS1	Cytosol
CAPRIN1	Nuclear
CAPS	Cytosol
CAPZA1	Cytosol
CAPZA2	Cytosol
CAPZB	Cytosol
CARD10	Cytosol
CARD11	Unclassified
CARD14	Cytosol
CARD8	Cytosol
CARHSP1	Cytosol
CARKD	Cytosol
CARM1	Cytosol
CARS	Cytosol
CARS2	Mitochondria
CASC3	Nuclear
CASC4	Secretory
CASC5	Nuclear
CASD1	Secretory
CASK	Unclassified
CASKIN1	Cytosol
CASKIN2	Cytosol
CASP14	Unclassified
CASP2	Cytosol
CASP6	Cytosol
CASP7	Cytosol
CASP8	Cytosol
CASP9	Cytosol
CAST	Cytosol
CASZ1	Nuclear
CAT	Secretory
CAV1	Secretory
CAV2	Secretory
CBFA2T2	Nuclear
CBFA2T3	Nuclear
CBFB	Cytosol
CBL	Cytosol
CBLB	Cytosol
CBLL1	Nuclear
CBR1	Cytosol
CBR3	Cytosol
CBR4	Mitochondria
CBS	Cytosol
CBWD2	Cytosol
CBX1	Nuclear
CBX2	Nuclear
CBX3	Nuclear
CBX4	Nuclear
CBX5	Nuclear
CBX6	Nuclear
CBX7	Nuclear
CBX8	Nuclear
CBY1	Cytosol
CC2D1A	Cytosol
CC2D1B	Cytosol
CC2D2A	Secretory
CCAR1	Nuclear
CCAR2	Nuclear
CCBL1	Cytosol
CCBL2	Cytosol
CCDC101	Cytosol
CCDC102A	Cytosol
CCDC104	Cytosol
CCDC106	Nuclear
CCDC109B	Mitochondria
CCDC115	Secretory
CCDC117	Nuclear
CCDC12	Nuclear
CCDC122	Cytosol
CCDC124	Cytosol
CCDC126	Secretory
CCDC127	Mitochondria
CCDC130	Nuclear
CCDC132	Cytosol
CCDC134	Secretory
CCDC137	Nuclear
CCDC138	Secretory
CCDC14	Secretory
CCDC149	Unclassified
CCDC15	Secretory
CCDC158	Unclassified
CCDC167	Secretory
CCDC170	Cytosol
CCDC174	Nuclear
CCDC22	Cytosol
CCDC23	Cytosol
CCDC25	Cytosol
CCDC28A	Cytosol
CCDC34	Secretory
CCDC37	Cytosol
CCDC41	Cytosol
CCDC43	Cytosol
CCDC47	Secretory
CCDC50	Cytosol
CCDC51	Mitochondria
CCDC53	Cytosol
CCDC57	Cytosol
CCDC58	Nuclear
CCDC59	Nuclear
CCDC6	Cytosol
CCDC61	Unclassified
CCDC64	Secretory
CCDC64B	Secretory
CCDC66	Cytosol
CCDC69	Nuclear
CCDC71	Nuclear
CCDC71L	Nuclear
CCDC74A	Unclassified
CCDC77	Secretory
CCDC82	Nuclear
CCDC83	Cytosol
CCDC84	Nuclear
CCDC85B	Cytosol
CCDC85C	Cytosol
CCDC86	Nuclear
CCDC88A	Unclassified
CCDC88C	Cytosol
CCDC9	Unclassified
CCDC90B	Mitochondria
CCDC91	Cytosol
CCDC92	Cytosol
CCDC93	Cytosol
CCDC94	Nuclear
CCDC97	Cytosol
CCHCR1	Cytosol
CCM2	Cytosol
CCM2L	Nuclear
CCNA2	Cytosol
CCNB1	Cytosol
CCNB2	Unclassified
CCNC	Nuclear
CCND1	Unclassified
CCND3	Nuclear
CCNDBP1	Cytosol
CCNE1	Nuclear
CCNE2	Nuclear
CCNF	Unclassified
CCNH	Nuclear
CCNI	Unclassified
CCNJ	Cytosol
CCNK	Nuclear
CCNL1	Nuclear
CCNL2	Unclassified
CCNT1	Nuclear
CCNT2	Nuclear
CCNY	Secretory
CCNYL1	Secretory
CCP110	Cytosol
CCPG1	Secretory
CCR8	Cytosol
CCRN4L	Mitochondria
CCS	Cytosol
CCSAP	Unclassified
CCSER1	Secretory
CCSER2	Unclassified
CCT2	Cytosol
CCT3	Cytosol
CCT4	Cytosol
CCT5	Cytosol
CCT6A	Cytosol
CCT6B	Cytosol
CCT7	Cytosol
CCT8	Cytosol
CD109	Secretory
CD14	Unclassified
CD151	Secretory
CD164	Secretory
CD164L2	Secretory
CD276	Secretory
CD2AP	Cytosol
CD2BP2	Nuclear
CD320	Secretory
CD36	Secretory
CD3EAP	Nuclear
CD44	Secretory
CD46	Secretory
CD47	Secretory
CD55	Secretory
CD58	Secretory
CD59	Secretory
CD5L	Unclassified
CD63	Secretory
CD81	Secretory
CD82	Unclassified
CD83	Secretory
CD9	Secretory
CD97	Secretory
CD99	Secretory
CD99L2	Secretory
CDAN1	Cytosol
CDC123	Cytosol
CDC14B	Unclassified
CDC16	Cytosol
CDC20	Cytosol
CDC23	Unclassified
CDC25B	Cytosol
CDC25C	Cytosol
CDC26	Cytosol
CDC27	Nuclear
CDC34	Cytosol
CDC37	Cytosol
CDC37L1	Cytosol
CDC40	Nuclear
CDC42	Cytosol
CDC42BPA	Cytosol
CDC42BPB	Cytosol
CDC42BPG	Cytosol
CDC42EP1	Secretory
CDC42EP2	Cytosol
CDC42EP4	Cytosol
CDC42EP5	Cytosol
CDC42SE1	Nuclear
CDC42SE2	Unclassified
CDC45	Nuclear
CDC5L	Nuclear
CDC6	Secretory
CDC7	Nuclear
CDC73	Nuclear
CDCA2	Nuclear
CDCA3	Secretory
CDCA4	Cytosol
CDCA5	Nuclear
CDCA7	Nuclear
CDCA7L	Nuclear
CDCA8	Nuclear
CDH1	Secretory
CDH11	Unclassified
CDH3	Secretory
CDH9	Unclassified
CDIPT	Secretory
CDK1	Cytosol
CDK10	Unclassified
CDK11A	Nuclear
CDK11B	Nuclear
CDK12	Nuclear
CDK13	Nuclear
CDK16	Cytosol
CDK17	Unclassified
CDK18	Cytosol
CDK19	Nuclear
CDK2	Cytosol
CDK2AP1	Nuclear
CDK2AP2	Nuclear
CDK4	Cytosol
CDK5	Cytosol
CDK5RAP1	Mitochondria
CDK5RAP2	Cytosol
CDK5RAP3	Secretory
CDK6	Cytosol
CDK7	Nuclear
CDK8	Nuclear
CDK9	Nuclear
CDKAL1	Secretory
CDKL5	Nuclear
CDKN1A	Nuclear
CDKN1B	Nuclear
CDKN1C	Cytosol
CDKN2AIP	Nuclear
CDKN2AIPNL	Nuclear
CDKN2B	Cytosol
CDKN2C	Cytosol
CDKN2D	Cytosol
CDKN3	Cytosol
CDNF	Nuclear
CDON	Secretory
CDPF1	Nuclear
CDR2	Cytosol
CDR2L	Cytosol
CDS1	Secretory
CDS2	Secretory
CDT1	Nuclear
CDV3	Cytosol
CDYL	Nuclear
CDYL2	Nuclear
CEACAM5	Secretory
CEACAM6	Secretory
CEBPA	Nuclear
CEBPB	Nuclear
CEBPG	Nuclear
CEBPZ	Nuclear
CEBPZ-AS1	Mitochondria
CECR5	Mitochondria
CELF1	Nuclear
CELSR1	Secretory
CELSR2	Secretory
CELSR3	Secretory
CENPB	Nuclear
CENPC	Nuclear
CENPE	Cytosol
CENPF	Nuclear
CENPH	Unclassified
CENPI	Nuclear
CENPJ	Cytosol
CENPK	Nuclear
CENPL	Nuclear
CENPM	Unclassified
CENPN	Nuclear
CENPO	Nuclear
CENPP	Nuclear
CENPQ	Nuclear
CENPT	Nuclear
CENPU	Nuclear
CENPV	Nuclear
CENPW	Nuclear
CEP104	Cytosol
CEP112	Cytosol
CEP120	Secretory
CEP128	Mitochondria
CEP135	Unclassified
CEP152	Unclassified
CEP164	Secretory
CEP170	Cytosol
CEP170B	Cytosol
CEP19	Unclassified
CEP192	Cytosol
CEP250	Cytosol
CEP290	Unclassified
CEP350	Secretory
CEP41	Cytosol
CEP44	Cytosol
CEP55	Cytosol
CEP57	Secretory
CEP63	Cytosol
CEP68	Secretory
CEP70	Secretory
CEP72	Unclassified
CEP76	Cytosol
CEP78	Cytosol
CEP85	Cytosol
CEP85L	Cytosol
CEP89	Unclassified
CEP95	Cytosol
CEP97	Cytosol
CEPT1	Secretory
CERCAM	Secretory
CERK	Secretory
CERS1	Secretory
CERS2	Secretory
CERS4	Unclassified
CERS5	Secretory
CERS6	Secretory
CES2	Secretory
CETN2	Cytosol
CETN3	Cytosol
CFD	Cytosol
CFDP1	Nuclear
CFH	Cytosol
CFHR1	Unclassified
CFHR2	Secretory
CFHR5	Cytosol
CFI	Cytosol
CFL1	Cytosol
CFL2	Cytosol
CGA	Unclassified
CGGBP1	Nuclear
CGN	Cytosol
CGNL1	Cytosol
CGREF1	Secretory
CGRRF1	Secretory
CHAC2	Cytosol
CHAF1A	Nuclear
CHAF1B	Nuclear
CHAMP1	Nuclear
CHCHD1	Mitochondria
CHCHD10	Nuclear
CHCHD2	Nuclear
CHCHD3	Mitochondria
CHCHD4	Mitochondria
CHCHD5	Nuclear
CHCHD6	Mitochondria
CHCHD7	Nuclear
CHD1	Nuclear
CHD1L	Nuclear
CHD2	Nuclear
CHD3	Nuclear
CHD4	Nuclear
CHD5	Nuclear
CHD6	Nuclear
CHD7	Nuclear
CHD8	Nuclear
CHD9	Nuclear
CHDH	Mitochondria
CHEK1	Cytosol
CHEK2	Nuclear
CHERP	Nuclear
CHFR	Nuclear
CHIC2	Secretory
CHID1	Secretory
CHKA	Cytosol
CHKB	Cytosol
CHM	Cytosol
CHML	Cytosol
CHMP1A	Cytosol
CHMP1B	Cytosol
CHMP2A	Cytosol
CHMP2B	Cytosol
CHMP3	Cytosol
CHMP4A	Cytosol
CHMP4B	Cytosol
CHMP4C	Cytosol
CHMP5	Cytosol
CHMP6	Secretory
CHMP7	Cytosol
CHN1	Cytosol
CHORDC1	Cytosol
CHP1	Secretory
CHPF	Secretory
CHPF2	Secretory
CHPT1	Secretory
CHRAC1	Unclassified
CHRNA5	Secretory
CHST10	Secretory
CHST11	Secretory
CHST12	Secretory
CHST14	Secretory
CHST15	Secretory
CHST3	Secretory
CHST7	Secretory
CHSY1	Secretory
CHTF18	Nuclear
CHTF8	Nuclear
CHTOP	Nuclear
CHUK	Cytosol
CIAO1	Cytosol
CIAPIN1	Cytosol
CIB1	Secretory
CIC	Nuclear
CILP2	Secretory
CINP	Cytosol
CIR1	Nuclear
CIRBP	Nuclear
CIRH1A	Nuclear
CISD1	Mitochondria
CISD2	Secretory
CISD3	Mitochondria
CIT	Cytosol
CIZ1	Nuclear
CKAP2	Unclassified
CKAP2L	Nuclear
CKAP4	Secretory
CKAP5	Cytosol
CKB	Cytosol
CKS2	Cytosol
CLASP1	Cytosol
CLASP2	Cytosol
CLASRP	Nuclear
CLCC1	Secretory
CLCN2	Secretory
CLCN3	Secretory
CLCN5	Secretory
CLCN6	Secretory
CLCN7	Secretory
CLDN12	Secretory
CLDN23	Secretory
CLDN3	Secretory
CLDN4	Secretory
CLDN9	Secretory
CLDND1	Secretory
CLEC16A	Cytosol
CLEC3B	Cytosol
CLGN	Secretory
CLIC1	Cytosol
CLIC3	Cytosol
CLIC4	Cytosol
CLIC6	Cytosol
CLINT1	Secretory
CLIP1	Cytosol
CLIP2	Cytosol
CLK1	Nuclear
CLK2	Nuclear
CLK3	Nuclear
CLK4	Nuclear
CLMN	Secretory
CLN3	Secretory
CLN5	Secretory
CLN8	Secretory
CLNS1A	Cytosol
CLOCK	Unclassified
CLP1	Nuclear
CLPB	Mitochondria
CLPP	Mitochondria
CLPTM1	Secretory
CLPTM1L	Secretory
CLPX	Mitochondria
CLSPN	Nuclear
CLSTN1	Secretory
CLSTN2	Secretory
CLSTN3	Secretory
CLTA	Cytosol
CLTB	Cytosol
CLTC	Cytosol
CLU	Secretory
CLUAP1	Cytosol
CLUH	Cytosol
CLYBL	Unclassified
CMAS	Nuclear
CMBL	Cytosol
CMC1	Nuclear
CMC2	Mitochondria
CMC4	Unclassified
CMIP	Cytosol
CMPK1	Cytosol
CMSS1	Nuclear
CMTM4	Secretory
CMTM6	Secretory
CMTM8	Nuclear
CMTR1	Nuclear
CMTR2	Cytosol
CNBP	Cytosol
CNDP1	Cytosol
CNDP2	Cytosol
CNEP1R1	Unclassified
CNIH1	Secretory
CNIH4	Secretory
CNKSR1	Cytosol
CNKSR3	Secretory
CNN2	Cytosol
CNNM1	Secretory
CNNM2	Secretory
CNNM3	Secretory
CNNM4	Secretory
CNOT1	Unclassified
CNOT10	Unclassified
CNOT11	Unclassified
CNOT2	Unclassified
CNOT4	Cytosol
CNOT6	Unclassified
CNOT6L	Unclassified
CNOT7	Unclassified
CNOT8	Cytosol
CNP	Secretory
CNPY2	Unclassified
CNPY3	Nuclear
CNPY4	Unclassified
CNST	Secretory
CNTN4	Cytosol
CNTRL	Cytosol
CNTROB	Unclassified
COA1	Unclassified
COA3	Mitochondria
COA4	Cytosol
COA5	Nuclear
COA6	Nuclear
COA7	Nuclear
COASY	Cytosol
COBL	Secretory
COBLL1	Cytosol
COCH	Unclassified
COG1	Cytosol
COG2	Cytosol
COG3	Cytosol
COG4	Cytosol
COG5	Cytosol
COG6	Cytosol
COG7	Cytosol
COG8	Cytosol
COIL	Nuclear
COL12A1	Secretory
COL18A1	Secretory
COL1A1	Cytosol
COL1A2	Cytosol
COL2A1	Secretory
COL3A1	Cytosol
COL4A3BP	Cytosol
COL4A5	Unclassified
COL5A1	Secretory
COL5A2	Unclassified
COL6A1	Secretory
COL6A2	Secretory
COL7A1	Cytosol
COL9A2	Cytosol
COLGALT1	Secretory
COLGALT2	Secretory
COMMD1	Cytosol
COMMD10	Cytosol
COMMD2	Cytosol
COMMD3	Cytosol
COMMD4	Cytosol
COMMD5	Cytosol
COMMD6	Cytosol
COMMD7	Cytosol
COMMD8	Cytosol
COMMD9	Cytosol
COMP	Cytosol
COMT	Cytosol
COMTD1	Mitochondria
COPA	Cytosol
COPB1	Cytosol
COPB2	Cytosol
COPE	Cytosol
COPG1	Cytosol
COPG2	Cytosol
COPRS	Cytosol
COPS2	Cytosol
COPS3	Cytosol
COPS4	Cytosol
COPS5	Cytosol
COPS6	Cytosol
COPS7A	Cytosol
COPS7B	Cytosol
COPS8	Cytosol
COPZ1	Cytosol
COQ10A	Unclassified
COQ10B	Mitochondria
COQ2	Mitochondria
COQ3	Secretory
COQ4	Unclassified
COQ5	Secretory
COQ6	Unclassified
COQ7	Secretory
COQ9	Unclassified
CORO1A	Cytosol
CORO1B	Cytosol
CORO1C	Nuclear
CORO2A	Secretory
CORO2B	Unclassified
CORO7	Cytosol
COTL1	Cytosol
COX10	Unclassified
COX11	Mitochondria
COX14	Mitochondria
COX15	Mitochondria
COX16	Mitochondria
COX17	Nuclear
COX18	Mitochondria
COX19	Nuclear
COX20	Mitochondria
COX4I1	Mitochondria
COX5A	Mitochondria
COX5B	Mitochondria
COX6B1	Mitochondria
COX6C	Mitochondria
COX7A2	Mitochondria
COX7A2L	Mitochondria
COX7B	Mitochondria
COX7C	Mitochondria
CP	Cytosol
CPB2	Nuclear
CPD	Secretory
CPE	Secretory
CPEB2	Cytosol
CPEB3	Cytosol
CPEB4	Unclassified
CPLX1	Cytosol
CPM	Secretory
CPN1	Nuclear
CPN2	Cytosol
CPNE1	Cytosol
CPNE2	Cytosol
CPNE3	Cytosol
CPNE4	Cytosol
CPNE7	Cytosol
CPOX	Nuclear
CPPED1	Cytosol
CPQ	Nuclear
CPS1	Mitochondria
CPSF1	Nuclear
CPSF2	Nuclear
CPSF3	Cytosol
CPSF3L	Nuclear
CPSF4	Nuclear
CPSF6	Nuclear
CPSF7	Nuclear
CPT1A	Unclassified
CPT2	Mitochondria
CRABP1	Cytosol
CRABP2	Cytosol
CRADD	Cytosol
CRAMP1L	Nuclear
CRAT	Unclassified
CRB3	Unclassified
CRBN	Cytosol
CRCP	Nuclear
CREB1	Nuclear
CREB3	Secretory
CREB3L2	Secretory
CREB3L4	Secretory
CREBBP	Nuclear
CREBZF	Nuclear
CREG1	Secretory
CREG2	Secretory
CRELD1	Secretory
CRELD2	Nuclear
CREM	Unclassified
CRIM1	Secretory
CRIP2	Cytosol
CRIPT	Nuclear
CRISP3	Cytosol
CRISPLD2	Secretory
CRK	Cytosol
CRKL	Cytosol
CRLF1	Secretory
CRLF3	Cytosol
CRLS1	Mitochondria
CRNKL1	Nuclear
CROCC	Cytosol
CROT	Secretory
CRP	Nuclear
CRTAP	Secretory
CRTC1	Cytosol
CRTC2	Cytosol
CRTC3	Cytosol
CRY1	Nuclear
CRY2	Nuclear
CRYAA	Cytosol
CRYBG3	Cytosol
CRYL1	Cytosol
CRYZ	Cytosol
CRYZL1	Cytosol
CS	Mitochondria
CSAD	Cytosol
CSDE1	Cytosol
CSE1L	Cytosol
CSGALNACT1	Secretory
CSGALNACT2	Secretory
CSK	Cytosol
CSNK1A1	Secretory
CSNK1D	Nuclear
CSNK1E	Secretory
CSNK1G1	Cytosol
CSNK1G2	Secretory
CSNK1G3	Secretory
CSNK2A1	Cytosol
CSNK2A2	Cytosol
CSNK2B	Nuclear
CSPG5	Secretory
CSPP1	Cytosol
CSRNP2	Unclassified
CSRP1	Cytosol
CSRP2	Cytosol
CSRP2BP	Nuclear
CSRP3	Cytosol
CST3	Secretory
CST6	Nuclear
CSTA	Cytosol
CSTB	Cytosol
CSTF1	Nuclear
CSTF2	Nuclear
CSTF2T	Cytosol
CSTF3	Nuclear
CTAGE5	Cytosol
CTBP1	Nuclear
CTBP2	Nuclear
CTBS	Nuclear
CTC1	Cytosol
CTCF	Nuclear
CTDNEP1	Secretory
CTDP1	Nuclear
CTDSP1	Secretory
CTDSP2	Secretory
CTDSPL	Secretory
CTDSPL2	Nuclear
CTGF	Cytosol
CTH	Cytosol
CTIF	Cytosol
CTNNA1	Secretory
CTNNA2	Mitochondria
CTNNAL1	Secretory
CTNNB1	Secretory
CTNNBIP1	Cytosol
CTNNBL1	Nuclear
CTNND1	Unclassified
CTNND2	Unclassified
CTPS1	Cytosol
CTPS2	Cytosol
CTR9	Nuclear
CTSA	Secretory
CTSB	Nuclear
CTSC	Unclassified
CTSD	Nuclear
CTSF	Secretory
CTSH	Unclassified
CTSK	Unclassified
CTSL	Nuclear
CTSV	Secretory
CTSZ	Unclassified
CTTN	Cytosol
CTTNBP2NL	Cytosol
CTU1	Cytosol
CTU2	Cytosol
CTXN1	Cytosol
CUEDC1	Cytosol
CUEDC2	Cytosol
CUL1	Cytosol
CUL2	Cytosol
CUL3	Cytosol
CUL4A	Cytosol
CUL4B	Unclassified
CUL5	Cytosol
CUL7	Cytosol
CUL9	Cytosol
CUTA	Cytosol
CUTC	Nuclear
CUX1	Secretory
CWC15	Nuclear
CWC22	Nuclear
CWC25	Nuclear
CWC27	Nuclear
CWF19L1	Nuclear
CWF19L2	Nuclear
CXADR	Secretory
CXCL12	Secretory
CXCL16	Secretory
CXCR4	Secretory
CXorf23	Nuclear
CXorf38	Cytosol
CXorf40A	Unclassified
CXorf56	Nuclear
CXXC1	Nuclear
CXXC5	Nuclear
CYB561	Secretory
CYB561A3	Unclassified
CYB5A	Secretory
CYB5B	Secretory
CYB5D2	Secretory
CYB5R1	Mitochondria
CYB5R3	Secretory
CYB5R4	Cytosol
CYBA	Secretory
CYC1	Mitochondria
CYCS	Nuclear
CYFIP1	Cytosol
CYFIP2	Cytosol
CYHR1	Nuclear
CYLD	Cytosol
CYP1A1	Secretory
CYP1B1	Secretory
CYP20A1	Secretory
CYP24A1	Unclassified
CYP27B1	Mitochondria
CYP2J2	Secretory
CYP2R1	Secretory
CYP2S1	Secretory
CYP2U1	Secretory
CYP4F11	Secretory
CYP4V2	Nuclear
CYP4Z1	Cytosol
CYP51A1	Secretory
CYR61	Secretory
CYSTM1	Secretory
CYTH1	Cytosol
CYTH2	Cytosol
CYTH3	Cytosol
D2HGDH	Mitochondria
DAAM1	Secretory
DAB2IP	Cytosol
DACH1	Nuclear
DAD1	Secretory
DAG1	Secretory
DAGLA	Secretory
DAGLB	Secretory
DAK	Cytosol
DALRD3	Cytosol
DAP	Cytosol
DAP3	Secretory
DAPK1	Nuclear
DAPK2	Unclassified
DAPK3	Cytosol
DARS	Cytosol
DARS2	Mitochondria
DAXX	Nuclear
DAZAP1	Nuclear
DBF4	Nuclear
DBI	Cytosol
DBN1	Secretory
DBNDD1	Cytosol
DBNL	Cytosol
DBR1	Nuclear
DBT	Mitochondria
DCAF10	Cytosol
DCAF11	Cytosol
DCAF12	Nuclear
DCAF13	Nuclear
DCAF15	Nuclear
DCAF16	Cytosol
DCAF4	Nuclear
DCAF5	Nuclear
DCAF6	Cytosol
DCAF7	Cytosol
DCAF8L2	Unclassified
DCAKD	Unclassified
DCBLD1	Secretory
DCBLD2	Secretory
DCD	Unclassified
DCDC2	Unclassified
DCK	Cytosol
DCLK1	Cytosol
DCLRE1A	Nuclear
DCLRE1B	Unclassified
DCLRE1C	Nuclear
DCP1B	Nuclear
DCP2	Nuclear
DCPS	Nuclear
DCST1	Cytosol
DCTD	Cytosol
DCTN1	Cytosol
DCTN2	Cytosol
DCTN3	Cytosol
DCTN4	Cytosol
DCTN5	Cytosol
DCTN6	Cytosol
DCTPP1	Cytosol
DCUN1D1	Cytosol
DCUN1D3	Secretory
DCUN1D4	Nuclear
DCUN1D5	Nuclear
DCXR	Cytosol
DDA1	Nuclear
DDAH1	Cytosol
DDAH2	Cytosol
DDB1	Cytosol
DDB2	Nuclear
DDHD1	Cytosol
DDHD2	Cytosol
DDI2	Cytosol
DDOST	Secretory
DDR1	Secretory
DDRGK1	Secretory
DDT	Cytosol
DDX1	Nuclear
DDX10	Nuclear
DDX11	Unclassified
DDX17	Nuclear
DDX18	Nuclear
DDX19A	Cytosol
DDX20	Nuclear
DDX21	Nuclear
DDX23	Nuclear
DDX24	Nuclear
DDX26B	Nuclear
DDX27	Nuclear
DDX28	Secretory
DDX31	Nuclear
DDX39A	Nuclear
DDX39B	Nuclear
DDX3X	Nuclear
DDX41	Nuclear
DDX42	Nuclear
DDX43	Cytosol
DDX46	Nuclear
DDX47	Nuclear
DDX49	Nuclear
DDX5	Nuclear
DDX50	Nuclear
DDX51	Nuclear
DDX52	Nuclear
DDX54	Nuclear
DDX55	Nuclear
DDX56	Nuclear
DDX58	Cytosol
DDX59	Nuclear
DDX6	Unclassified
DEAF1	Unclassified
DECR1	Mitochondria
DECR2	Secretory
DEDD	Nuclear
DEDD2	Unclassified
DEF6	Cytosol
DEF8	Cytosol
DEGS1	Secretory
DEGS2	Secretory
DEK	Nuclear
DENND1A	Cytosol
DENND1B	Cytosol
DENND2C	Secretory
DENND2D	Secretory
DENND3	Cytosol
DENND4A	Cytosol
DENND4B	Cytosol
DENND4C	Cytosol
DENND6A	Cytosol
DENR	Cytosol
DEPDC1	Secretory
DEPDC1B	Secretory
DEPDC5	Cytosol
DEPTOR	Cytosol
DERA	Cytosol
DERL1	Secretory
DERL2	Secretory
DES	Mitochondria
DESI1	Cytosol
DESI2	Secretory
DET1	Cytosol
DFFA	Cytosol
DFFB	Nuclear
DFNB31	Cytosol
DGAT1	Secretory
DGAT2	Secretory
DGCR14	Nuclear
DGCR2	Secretory
DGCR6L	Cytosol
DGCR8	Nuclear
DGKA	Cytosol
DGKD	Cytosol
DGKE	Secretory
DGKH	Cytosol
DGKQ	Cytosol
DGKZ	Cytosol
DGUOK	Unclassified
DHCR24	Secretory
DHCR7	Secretory
DHDDS	Secretory
DHFR	Cytosol
DHODH	Mitochondria
DHPS	Cytosol
DHRS1	Secretory
DHRS11	Cytosol
DHRS12	Cytosol
DHRS13	Secretory
DHRS2	Mitochondria
DHRS3	Secretory
DHRS4	Unclassified
DHRS7	Secretory
DHRS7B	Secretory
DHRSX	Secretory
DHTKD1	Mitochondria
DHX15	Nuclear
DHX16	Nuclear
DHX29	Cytosol
DHX30	Secretory
DHX32	Cytosol
DHX33	Nuclear
DHX34	Nuclear
DHX35	Nuclear
DHX36	Nuclear
DHX37	Nuclear
DHX38	Nuclear
DHX40	Nuclear
DHX57	Nuclear
DHX8	Nuclear
DHX9	Nuclear
DIABLO	Nuclear
DIAPH1	Cytosol
DIAPH2	Cytosol
DIAPH3	Cytosol
DICER1	Nuclear
DIDO1	Nuclear
DIEXF	Nuclear
DIMT1	Nuclear
DIP2A	Cytosol
DIP2B	Cytosol
DIP2C	Cytosol
DIRAS1	Unclassified
DIRC2	Secretory
DIS3	Nuclear
DIS3L	Cytosol
DIS3L2	Cytosol
DISP1	Secretory
DISP2	Nuclear
DKC1	Nuclear
DKK1	Unclassified
DLAT	Secretory
DLD	Mitochondria
DLG1	Unclassified
DLG2	Unclassified
DLG3	Unclassified
DLG5	Secretory
DLGAP4	Cytosol
DLGAP5	Cytosol
DLL1	Secretory
DLST	Secretory
DLX1	Cytosol
DLX2	Nuclear
DMAP1	Nuclear
DMKN	Cytosol
DMPK	Cytosol
DMTF1	Unclassified
DMTN	Cytosol
DMWD	Cytosol
DMXL1	Cytosol
DMXL2	Cytosol
DNA2	Cytosol
DNAAF2	Cytosol
DNAAF3	Unclassified
DNAH1	Cytosol
DNAH2	Nuclear
DNAH7	Unclassified
DNAJA1	Cytosol
DNAJA2	Cytosol
DNAJA3	Mitochondria
DNAJA4	Cytosol
DNAJB1	Cytosol
DNAJB11	Secretory
DNAJB12	Secretory
DNAJB14	Secretory
DNAJB2	Cytosol
DNAJB4	Cytosol
DNAJB5	Cytosol
DNAJB6	Secretory
DNAJB9	Secretory
DNAJC1	Secretory
DNAJC10	Secretory
DNAJC11	Mitochondria
DNAJC12	Cytosol
DNAJC13	Secretory
DNAJC14	Secretory
DNAJC15	Mitochondria
DNAJC16	Secretory
DNAJC17	Nuclear
DNAJC18	Cytosol
DNAJC19	Mitochondria
DNAJC2	Cytosol
DNAJC21	Cytosol
DNAJC22	Cytosol
DNAJC25	Secretory
DNAJC28	Unclassified
DNAJC3	Secretory
DNAJC30	Mitochondria
DNAJC4	Mitochondria
DNAJC5	Secretory
DNAJC6	Cytosol
DNAJC7	Cytosol
DNAJC8	Nuclear
DNAJC9	Nuclear
DNAL1	Cytosol
DNAL4	Cytosol
DNASE1L1	Secretory
DNASE1L2	Unclassified
DNASE2	Nuclear
DNLZ	Mitochondria
DNM1	Cytosol
DNM1L	Cytosol
DNM2	Cytosol
DNMBP	Cytosol
